host,apogee_id,ra_x,dec_x,ra_y,dec_y,glon,glat,snr,extratarg,teff,teff_err,logg,logg_err,m_h,m_h_err,fe_h,fe_h_err,o_fe,o_fe_err,na_fe,na_fe_err,mg_fe,mg_fe_err,al_fe,al_fe_err,k_fe,k_fe_err,co_fe,co_fe_err
HD 145457,2M16100392+2644336,242.5163269,26.74268532,242.5163269,26.74268532,44.3013268,46.03025717,162.0193,9,4805.314,9.910008,2.627599,0.02574208,-0.16702,0.00714802,-0.1792,0.008408818,0.05325499,0.02043998,0.358192,0.0718252,0.029017,0.01277238,0.02388899,0.02247278,0.08536899,0.04089114,-0.04134001,0.06647576
HD 33142,2M05073553-1359113,76.89806366,-13.98648453,76.89806366,-13.98648453,214.3375842,-29.22648867,197.4979,9,4971.264,9.290789,3.277588,0.02167866,0.013178,0.005652813,0.013247,0.006650369,0.0653828,0.0195601,-0.016227,0.05734248,0.0545551,0.01024463,0.01163399,0.01777187,-0.023496,0.03351217,-0.004735002,0.05564469
42 Dra,2M18255915+6533486,276.4963989,65.56347656,276.4963989,65.56347656,95.41915461,27.12566394,487.4787,9,4446.587,7.018347,2.049626,0.02537777,-0.41179,0.007264768,-0.43259,0.008530769,0.142354,0.01369896,-0.152638,0.06303494,0.118195,0.0126726,0.093611,0.02023941,0.164729,0.03960232,0.11634,0.0446683
HD 158996,2M17193713+8008108,259.9047546,80.13636017,259.9047546,80.13636017,112.3747454,30.57762812,359.5089,9,4108.906,5.160161,1.506402,0.02138301,-0.081149,0.006640887,-0.10525,0.00834605,0.047552,0.009080465,0.053035,0.03835949,0.006676003,0.01052254,-0.133498,0.01944927,-0.119241,0.03285624,0.088108,0.02688356
HD 66141,2M08021594+0220044,120.5664139,2.334556103,120.5664139,2.334556103,219.0674981,16.8004014,432.4249,9,4309.34,6.388826,1.817892,0.02504564,-0.40144,0.007367921,-0.41303,0.008763209,0.130372,0.01218027,0.01281199,0.05799026,0.132411,0.01255,0.05763099,0.02041407,0.169629,0.03901419,0.09383002,0.03942858
HD 150010,2M16312819+7236443,247.8676147,72.61233521,247.8676147,72.61233521,105.3194968,35.99163578,194.9042,9,4314.21,5.828706,2.094083,0.0210773,-0.021676,0.006306509,-0.037252,0.007845606,0.08277901,0.00998986,0.088579,0.04045511,0.068905,0.01022955,-0.018081,0.01891552,0.1085128,0.03238508,0.043555,0.03084113
11 UMi,2M15170588+7149258,229.2745361,71.82389832,229.2745361,71.82389832,108.7189703,41.04457621,440.8285,9,4280.54,5.6568,1.877463,0.02074795,0.0083728,0.006257747,-0.020305,0.007835093,0.0373988,0.009607236,0.018358,0.03860788,-0.000456197,0.01006043,-0.05073601,0.01885155,0.0839972,0.03183327,0.133612,0.02937495
HD 208527,2M21562398+2114233,329.0999451,21.23986053,329.0999451,21.23986053,77.24517474,-25.7176495,222.9868,9,3923.88,4.579029,1.258609,0.02128395,-0.096023,0.006848373,-0.10739,0.008726331,0.081058,0.008446127,-0.067488,0.03523645,0.01934101,0.01058195,-0.06460801,0.01978953,-0.116531,0.03265941,0.077123,0.02315638
HD 139357,2M15351620+5355195,233.8174896,53.92214203,233.8174896,53.92214203,86.15952313,49.84749675,217.972,9,4655.603,6.781756,2.606171,0.01847609,0.31581,0.005241672,0.2861,0.006589732,-0.04003701,0.01118893,0.220082,0.03543329,-0.01897702,0.008598437,-0.003789008,0.01720243,0.07388899,0.02814543,0.12225,0.03349143
HD 167042,2M18103166+5417114,272.6318359,54.28655243,272.6318359,54.28655243,82.54768166,27.54736099,240.2667,9,4941.021,9.027816,3.213785,0.02140698,0.036222,0.005625751,0.032387,0.006656041,0.003619,0.01854978,-0.136225,0.05506806,0.023927,0.01010272,0.07304399,0.01773767,0.06722699,0.03305282,0.110577,0.05320781
HD 75784,2M08522396+1314005,133.099884,13.23348427,133.099884,13.23348427,214.2816,32.73169412,166.4891,9,4810.447,9.042348,3.324841,0.0220199,0.14914,0.006168522,0.14399,0.007524896,-0.01724701,0.01684393,0.09593201,0.05232383,0.06031701,0.01057672,0.05240099,0.02059668,0.002581999,0.03448377,0.11953,0.0528961
alf Tau,2M04355524+1630331,68.98016357,16.50930214,68.98016357,16.50930214,180.9719225,-20.248232,177.521,9,3982.441,4.921355,1.404772,0.02192756,-0.10794,0.007019682,-0.14267,0.008897543,0.106113,0.008940599,0.126633,0.037967,0.078051,0.01094097,0.035795,0.02050149,0.03413901,0.03383795,0.247672,0.0256953
HD 32518,2M05093674+6938219,77.40309906,69.63941956,77.40309906,69.63941956,142.1227926,17.12165311,197.7197,9,4679.226,7.476609,2.580367,0.02147209,-0.011246,0.005970862,-0.032982,0.007204577,0.090874,0.01378568,-0.004733998,0.04904119,0.117658,0.01026603,0.06066299,0.0183302,0.142283,0.03310774,0.0875165,0.04238299
24 Boo,2M14283785+4950414,217.1577148,49.84485245,217.1577148,49.84485245,90.16206775,60.64365309,145.2872,9,5011.342,14.29866,2.38444,0.03501825,-0.68647,0.009244603,-0.70515,0.01005406,0.4696431,0.03951594,0.08346206,0.1457377,0.340743,0.01850264,0.304751,0.02715061,0.292339,0.05754707,-0.1567,0.1294492
4 UMa,2M08401279+6419405,130.0534058,64.32793427,130.0534058,64.32793427,151.3589548,35.9569444,483.0673,9,4517.833,6.944425,2.207837,0.02293616,-0.17982,0.006546353,-0.20932,0.00785586,0.05959399,0.01283454,-0.125978,0.05247394,0.070741,0.01119381,0.02509899,0.01921629,0.071459,0.03551832,0.09063999,0.04076801
HD 158038,2M17254543+2718118,261.4393005,27.30330086,261.4393005,27.30330086,50.39680463,29.86636927,153.0265,9,4950.387,10.69917,3.260588,0.02266771,0.22984,0.006292127,0.222,0.007667518,-0.07827702,0.0209219,0.200172,0.05754288,0.053298,0.01091609,0.09391099,0.02213671,0.146309,0.03589655,0.20265,0.06518528
HD 6860,2M01094391+3537137,17.43301582,35.62055588,17.43301582,35.62055588,127.1075609,-27.10271926,675.7653,9,3930.647,4.842741,1.091074,0.02338344,-0.30185,0.007441428,-0.30447,0.009246512,0.09890601,0.009343532,0.248337,0.04304646,0.03398502,0.01180069,-0.01745901,0.02060933,0.120349,0.03615237,0.24082,0.02666867
mu Leo,2M09524585+2600248,148.1909027,26.00695419,148.1909027,26.00695419,204.0453237,50.24579272,650.0789,9,4545.086,6.243811,2.489177,0.01831898,0.31786,0.005324238,0.28166,0.006765015,0.01430202,0.009982853,0.120242,0.03310258,0.004376024,0.008568457,0.00555101,0.01736093,0.008809,0.02786859,0.22606,0.03008188
6 Lyn,2M06304711+5809453,97.69628906,58.16260147,97.69628906,58.16260147,156.9715173,20.1898952,221.61,9,4950.663,9.471973,3.117362,0.02311328,-0.13106,0.006015552,-0.12752,0.006971009,0.02234199,0.02069303,0.05347599,0.06492964,0.071247,0.01108196,0.04835498,0.01832721,0.01059899,0.035908,0.208382,0.05987323
HD 104985,2M12051510+7654205,181.3129272,76.90571594,181.3129272,76.90571594,126.3215918,39.91717354,228.0457,9,4684.983,8.116508,2.385011,0.02484006,-0.33102,0.006799834,-0.35594,0.007895275,0.262663,0.01660828,0.165692,0.06667108,0.247483,0.01222789,0.2058367,0.0195345,0.346784,0.03874888,0.15042,0.05244986
17 Sco,2M16135090-1150160,243.4621124,-11.83774662,243.4621124,-11.83774662,1.302577453,27.34308152,252.1551,9,4347.113,6.02218,1.910486,0.02153701,-0.064633,0.006389857,-0.08296,0.007886756,0.04455201,0.01046766,-0.027588,0.04289889,0.02268301,0.01047465,-0.019487,0.01902984,0.072128,0.03315425,0.075984,0.0326351
